,Lower literature estimate,HYDE 3.1,Upper literature estimate
-200000,0,0,0
-10000,1,2,20
-9000,,4,
-8000,5,5,7
-7000,,8,
-6000,,11,
-5000,5,18,24
-4000,7,28,38
-3000,14,45,60
-2000,27,72,97
-1000,50,115,154
0,170,188,330
100,180,195,180
200,190,202,257
300,190,205,190
400,190,209,190
500,190,210,190
600,200,213,208
700,210,226,210
800,220,240,220
900,240,269,240
1000,253,295,345
1100,320,353,320
1200,360,393,450
1300,360,392,400
1400,350,390,375
1500,425,461,540
1600,545,554,578
1700,410,603,680
1750,694,814,805
1800,890,990,1000
1850,1170,1263,1265
1900,1571,1654,1710
1910,1660,1777,1767
1920,1810,1912,2000
1930,1950,2092,2086
1940,2170,2307,2295
1950,2400,2545,2521
1960,2980,3043,3019
1970,3630,3710,3765
1980,4414,4461,4447
1990,5255,5308,5295
2000,6055,6145,6071
2017,7600,7600,7600